RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,7506,2022-06-20 17:12:03.6808539,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 8264, ProcessGUID: 4bbef3ae-aa63-62b0-db09-000000000700",RuleName: -,"MD5=33F89DD9629CB0422A2C17268376232D,SHA256=9358EF8CB7FB08581D74274005263BD8FA2E6E0FC443930B25FD345CF6CE9071,IMPHASH=B9B0B64B08B38276711093CA94348D39",ParentProcess: C:\Windows\System32\winlogon.exe,"ParentProcessID: 3024, ParentProcessGUID: 4bbef3ae-a003-62b0-0f07-000000000700",ParentCommandLine: winlogon.exe,"""LogonUI.exe"" /flags:0x0 /state0:0xa351e855 /state1:0x41c64e6d",False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:03.673""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa63-62b0-db09-000000000700""},{""@Name"":""ProcessId"",""#text"":""8264""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\LogonUI.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.17763.1 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Windows Logon User Interface Host""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""logonui.exe""},{""@Name"":""CommandLine"",""#text"":""\""LogonUI.exe\"" /flags:0x0 /state0:0xa351e855 /state1:0x41c64e6d""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""4bbef3ae-8422-62b0-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""9""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=33F89DD9629CB0422A2C17268376232D,SHA256=9358EF8CB7FB08581D74274005263BD8FA2E6E0FC443930B25FD345CF6CE9071,IMPHASH=B9B0B64B08B38276711093CA94348D39""},{""@Name"":""ParentProcessGuid"",""#text"":""4bbef3ae-a003-62b0-0f07-000000000700""},{""@Name"":""ParentProcessId"",""#text"":""3024""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\winlogon.exe""},{""@Name"":""ParentCommandLine"",""#text"":""winlogon.exe""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
2,7507,2022-06-20 17:12:07.4547133,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 6008, ProcessGUID: 4bbef3ae-aa67-62b0-dc09-000000000700",RuleName: -,"MD5=2755A7D96CF37DF1960A6D8828A614CB,SHA256=A15DF33F7B666BC79A2FE9864442623AAEA393552591A4AB1F3A7CB29CF40DAE,IMPHASH=BC32B6662261DE8469D6EB034C62A6A5",ParentProcess: C:\Windows\System32\smss.exe,"ParentProcessID: 272, ParentProcessGUID: 4bbef3ae-841f-62b0-0300-000000000700",ParentCommandLine: \SystemRoot\System32\smss.exe,"\SystemRoot\System32\smss.exe 000000f0 00000084 ",False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:07.439""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-dc09-000000000700""},{""@Name"":""ProcessId"",""#text"":""6008""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.17763.292 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Windows Session Manager""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""smss.exe""},{""@Name"":""CommandLine"",""#text"":""\\SystemRoot\\System32\\smss.exe 000000f0 00000084 ""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""4bbef3ae-8422-62b0-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""10""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=2755A7D96CF37DF1960A6D8828A614CB,SHA256=A15DF33F7B666BC79A2FE9864442623AAEA393552591A4AB1F3A7CB29CF40DAE,IMPHASH=BC32B6662261DE8469D6EB034C62A6A5""},{""@Name"":""ParentProcessGuid"",""#text"":""4bbef3ae-841f-62b0-0300-000000000700""},{""@Name"":""ParentProcessId"",""#text"":""272""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""ParentCommandLine"",""#text"":""\\SystemRoot\\System32\\smss.exe""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
3,7508,2022-06-20 17:12:07.4693695,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 3728, ProcessGUID: 4bbef3ae-aa67-62b0-dd09-000000000700",RuleName: -,"MD5=7D64128BC1EECE41196858897596EBC8,SHA256=FB40ED0FFA6BC795923A941DAB6B7D6B43583D0F152A6DF4D8953D2C1A0CB417,IMPHASH=A96FA9912E09E361274AD77F1A4B252C",ParentProcess: C:\Windows\System32\smss.exe,"ParentProcessID: 6008, ParentProcessGUID: 4bbef3ae-aa67-62b0-dc09-000000000700","ParentCommandLine: \SystemRoot\System32\smss.exe 000000f0 00000084 ","%%SystemRoot%%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:07.468""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-dd09-000000000700""},{""@Name"":""ProcessId"",""#text"":""3728""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\csrss.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.17763.1 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Client Server Runtime Process""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""CSRSS.Exe""},{""@Name"":""CommandLine"",""#text"":""%%SystemRoot%%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""4bbef3ae-8422-62b0-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""10""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=7D64128BC1EECE41196858897596EBC8,SHA256=FB40ED0FFA6BC795923A941DAB6B7D6B43583D0F152A6DF4D8953D2C1A0CB417,IMPHASH=A96FA9912E09E361274AD77F1A4B252C""},{""@Name"":""ParentProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-dc09-000000000700""},{""@Name"":""ParentProcessId"",""#text"":""6008""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""ParentCommandLine"",""#text"":""\\SystemRoot\\System32\\smss.exe 000000f0 00000084 ""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
4,7509,2022-06-20 17:12:07.5098789,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 5612, ProcessGUID: 4bbef3ae-aa67-62b0-de09-000000000700",RuleName: -,"MD5=92419F3B74C6C3D7304B7665DA984552,SHA256=01075068DC177AE38293A76C9DA5B2E09426093ECA4F6A53281CB6EC2FC6CD17,IMPHASH=EF65F72328CF42D69B01F630633D3327",ParentProcess: C:\Windows\System32\smss.exe,"ParentProcessID: 6008, ParentProcessGUID: 4bbef3ae-aa67-62b0-dc09-000000000700","ParentCommandLine: \SystemRoot\System32\smss.exe 000000f0 00000084 ",winlogon.exe,False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:07.507""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-de09-000000000700""},{""@Name"":""ProcessId"",""#text"":""5612""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\winlogon.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.17763.1 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Windows Logon Application""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""WINLOGON.EXE""},{""@Name"":""CommandLine"",""#text"":""winlogon.exe""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""4bbef3ae-8422-62b0-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""10""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=92419F3B74C6C3D7304B7665DA984552,SHA256=01075068DC177AE38293A76C9DA5B2E09426093ECA4F6A53281CB6EC2FC6CD17,IMPHASH=EF65F72328CF42D69B01F630633D3327""},{""@Name"":""ParentProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-dc09-000000000700""},{""@Name"":""ParentProcessId"",""#text"":""6008""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""ParentCommandLine"",""#text"":""\\SystemRoot\\System32\\smss.exe 000000f0 00000084 ""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
5,7510,2022-06-20 17:12:07.5803782,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 5784, ProcessGUID: 4bbef3ae-aa67-62b0-df09-000000000700",RuleName: -,"MD5=89D71B1EB7D0FBE4578655C4D230B8DD,SHA256=2E934019907CDEFC0E2EB87E81D21166B80FB565DD827A53F2E974B00AFDFC57,IMPHASH=E28C03509E7F23FEA2BCD7E77FF0B52B",ParentProcess: -,"ParentProcessID: 4452, ParentProcessGUID: 00000000-0000-0000-0000-000000000000",ParentCommandLine: -,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe2_ Global\UsGthrCtrlFltPipeMssGthrPipe2 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:07.577""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-df09-000000000700""},{""@Name"":""ProcessId"",""#text"":""5784""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\SearchProtocolHost.exe""},{""@Name"":""FileVersion"",""#text"":""7.0.17763.168 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Microsoft Windows Search Protocol Host""},{""@Name"":""Product"",""#text"":""Windows® Search""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""SearchProtocolHost.exe""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\SearchProtocolHost.exe\"" Global\\UsGthrFltPipeMssGthrPipe2_ Global\\UsGthrCtrlFltPipeMssGthrPipe2 1 -2147483646 \""Software\\Microsoft\\Windows Search\"" \""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)\"" \""C:\\ProgramData\\Microsoft\\Search\\Data\\Temp\\usgthrsvc\"" \""DownLevelDaemon\"" ""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""4bbef3ae-8422-62b0-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""0""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=89D71B1EB7D0FBE4578655C4D230B8DD,SHA256=2E934019907CDEFC0E2EB87E81D21166B80FB565DD827A53F2E974B00AFDFC57,IMPHASH=E28C03509E7F23FEA2BCD7E77FF0B52B""},{""@Name"":""ParentProcessGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""ParentProcessId"",""#text"":""4452""},{""@Name"":""ParentImage"",""#text"":""-""},{""@Name"":""ParentCommandLine"",""#text"":""-""},{""@Name"":""ParentUser"",""#text"":""-""}]}}"
6,7511,2022-06-20 17:12:07.6538784,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 496, ProcessGUID: 4bbef3ae-aa67-62b0-e009-000000000700",RuleName: -,"MD5=33F89DD9629CB0422A2C17268376232D,SHA256=9358EF8CB7FB08581D74274005263BD8FA2E6E0FC443930B25FD345CF6CE9071,IMPHASH=B9B0B64B08B38276711093CA94348D39",ParentProcess: C:\Windows\System32\winlogon.exe,"ParentProcessID: 5612, ParentProcessGUID: 4bbef3ae-aa67-62b0-de09-000000000700",ParentCommandLine: winlogon.exe,"""LogonUI.exe"" /flags:0x0 /state0:0xa3521855 /state1:0x41c64e6d",False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:07.638""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-e009-000000000700""},{""@Name"":""ProcessId"",""#text"":""496""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\LogonUI.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.17763.1 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Windows Logon User Interface Host""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""logonui.exe""},{""@Name"":""CommandLine"",""#text"":""\""LogonUI.exe\"" /flags:0x0 /state0:0xa3521855 /state1:0x41c64e6d""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""4bbef3ae-8422-62b0-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""10""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=33F89DD9629CB0422A2C17268376232D,SHA256=9358EF8CB7FB08581D74274005263BD8FA2E6E0FC443930B25FD345CF6CE9071,IMPHASH=B9B0B64B08B38276711093CA94348D39""},{""@Name"":""ParentProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-de09-000000000700""},{""@Name"":""ParentProcessId"",""#text"":""5612""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\winlogon.exe""},{""@Name"":""ParentCommandLine"",""#text"":""winlogon.exe""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
7,7512,2022-06-20 17:12:07.6647765,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,Process creation,Window Manager\DWM-10,,"ProcessID: 3916, ProcessGUID: 4bbef3ae-aa67-62b0-e109-000000000700",RuleName: -,"MD5=38833EC9E139654135BD183DFBABC36B,SHA256=43DC58AF302374F77C3FAEAC2FB446B1D813712D2650D9618E8D80E312F2E6FD,IMPHASH=CC05EDB80F10F1D5E7EC964B8C83F969",ParentProcess: C:\Windows\System32\winlogon.exe,"ParentProcessID: 5612, ParentProcessGUID: 4bbef3ae-aa67-62b0-de09-000000000700",ParentCommandLine: winlogon.exe,"""dwm.exe""",False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:07.640""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-e109-000000000700""},{""@Name"":""ProcessId"",""#text"":""3916""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\dwm.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.17763.1 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Desktop Window Manager""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""dwm.exe""},{""@Name"":""CommandLine"",""#text"":""\""dwm.exe\""""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""Window Manager\\DWM-10""},{""@Name"":""LogonGuid"",""#text"":""4bbef3ae-aa67-62b0-2e1b-a40100000000""},{""@Name"":""LogonId"",""#text"":""0x1A41B2E""},{""@Name"":""TerminalSessionId"",""#text"":""10""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=38833EC9E139654135BD183DFBABC36B,SHA256=43DC58AF302374F77C3FAEAC2FB446B1D813712D2650D9618E8D80E312F2E6FD,IMPHASH=CC05EDB80F10F1D5E7EC964B8C83F969""},{""@Name"":""ParentProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-de09-000000000700""},{""@Name"":""ParentProcessId"",""#text"":""5612""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\winlogon.exe""},{""@Name"":""ParentCommandLine"",""#text"":""winlogon.exe""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
8,7513,2022-06-20 17:12:07.7825693,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 6816, ProcessGUID: 4bbef3ae-aa67-62b0-e309-000000000700",RuleName: -,"MD5=8E405C382FA7BEC2AF21895316148945,SHA256=CCE5F9A8476A55113DA052DBB064AC7A2D968062C5226CE44E9E87452344041A,IMPHASH=85EC58BF37B3113B6DEF4557E150A605",ParentProcess: C:\Windows\System32\vm3dservice.exe,"ParentProcessID: 3168, ParentProcessGUID: 4bbef3ae-842b-62b0-5500-000000000700",ParentCommandLine: C:\Windows\system32\vm3dservice.exe,vm3dservice.exe -n,False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:07.764""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-e309-000000000700""},{""@Name"":""ProcessId"",""#text"":""6816""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\vm3dservice.exe""},{""@Name"":""FileVersion"",""#text"":""8.17.03.0005""},{""@Name"":""Description"",""#text"":""VMware SVGA Helper Service""},{""@Name"":""Product"",""#text"":""VMware SVGA 3D""},{""@Name"":""Company"",""#text"":""VMware, Inc.""},{""@Name"":""OriginalFileName"",""#text"":""vm3dservice.exe""},{""@Name"":""CommandLine"",""#text"":""vm3dservice.exe -n""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""4bbef3ae-8422-62b0-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""10""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=8E405C382FA7BEC2AF21895316148945,SHA256=CCE5F9A8476A55113DA052DBB064AC7A2D968062C5226CE44E9E87452344041A,IMPHASH=85EC58BF37B3113B6DEF4557E150A605""},{""@Name"":""ParentProcessGuid"",""#text"":""4bbef3ae-842b-62b0-5500-000000000700""},{""@Name"":""ParentProcessId"",""#text"":""3168""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\vm3dservice.exe""},{""@Name"":""ParentCommandLine"",""#text"":""C:\\Windows\\system32\\vm3dservice.exe""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
9,7514,2022-06-20 17:12:07.8078989,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 7836, ProcessGUID: 4bbef3ae-aa67-62b0-e409-000000000700",RuleName: -,"MD5=BE003A80F52A656CD0F58409101F8F3D,SHA256=8A9AF652092484AFAFFAD20DAFD51AE8886738C7432823549C4FB7FD06FCF7E3,IMPHASH=837968E736EE58A7F0780D1DA007BB63",ParentProcess: -,"ParentProcessID: 4452, ParentProcessGUID: 00000000-0000-0000-0000-000000000000",ParentCommandLine: -,"""C:\Windows\system32\SearchFilterHost.exe"" 0 780 784 792 8192 788 ",False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:07.805""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-e409-000000000700""},{""@Name"":""ProcessId"",""#text"":""7836""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\SearchFilterHost.exe""},{""@Name"":""FileVersion"",""#text"":""7.0.17763.168 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Microsoft Windows Search Filter Host""},{""@Name"":""Product"",""#text"":""Windows® Search""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""SearchFilterHost.exe""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\SearchFilterHost.exe\"" 0 780 784 792 8192 788 ""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""4bbef3ae-8422-62b0-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""0""},{""@Name"":""IntegrityLevel"",""#text"":""Medium""},{""@Name"":""Hashes"",""#text"":""MD5=BE003A80F52A656CD0F58409101F8F3D,SHA256=8A9AF652092484AFAFFAD20DAFD51AE8886738C7432823549C4FB7FD06FCF7E3,IMPHASH=837968E736EE58A7F0780D1DA007BB63""},{""@Name"":""ParentProcessGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""ParentProcessId"",""#text"":""4452""},{""@Name"":""ParentImage"",""#text"":""-""},{""@Name"":""ParentCommandLine"",""#text"":""-""},{""@Name"":""ParentUser"",""#text"":""-""}]}}"
10,7515,2022-06-20 17:12:13.6841479,12,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2800,6224,TEMPEST,0,S-1-5-18,RegistryEvent (Object create and delete),NT AUTHORITY\SYSTEM,,"ProcessID: 496, ProcessGUID: 4bbef3ae-aa67-62b0-e009-000000000700",RuleName: -,Image: C:\Windows\system32\LogonUI.exe,EventType: DeleteValue,TargetObject: HKU\.DEFAULT\Keyboard Layout\Preload\1,,,False,C:\Users\byte store\Desktop\Incident Files Tempest\sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""EventType"",""#text"":""DeleteValue""},{""@Name"":""UtcTime"",""#text"":""2022-06-20 17:12:13.659""},{""@Name"":""ProcessGuid"",""#text"":""4bbef3ae-aa67-62b0-e009-000000000700""},{""@Name"":""ProcessId"",""#text"":""496""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\LogonUI.exe""},{""@Name"":""TargetObject"",""#text"":""HKU\\.DEFAULT\\Keyboard Layout\\Preload\\1""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
